image,tot_root_length,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals,tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle
sim-15-0.9-0.01-0.6-4-1.3-0.85-2-10.rsml,1761.457,7,519,74.742,2.26,0.284,62,1206,19.972,1.337,56.432
sim-15-1-0.01-0.4-4-1.3-0.3-1-10.rsml,269.325,6,187,31.834,0.938,0.383,9,73,8.702,0.535,63.741
sim-15-0.8-0.01-0.2-4-1.3-0.85-3-10.rsml,811.763,6,489,82.032,2.393,0.391,33,298,9.684,0.653,62.487
sim-15-0.5-0.01-0.5-4-1.3-0.9-4-15.rsml,9214.766,6,1034,172.939,1.948,0.345,181,8082,45.178,1.002,55.233
sim-15-1-0.01-0.7-4-1.3-0.35-5-10.rsml,430.49,7,223,32.313,1.037,0.365,15,197,13.62,0.743,59.512
sim-15-1.1-0.01-0.3-4-1.3-0.8-2-15.rsml,11191.629,13,2163,166.864,2.68,0.294,308,8865,29.293,0.968,56.752
sim-15-1.5-0.01-0.6-4-1.3-1-3-20.rsml,40069.926,25,3494,140.42,0.996,0.33,718,36198,50.918,0.621,58.577
sim-15-0.8-0.01-0.6-4-1.3-0.45-5-5.rsml,9.967,1,9,9.967,0.757,0,0,0,0,0,0
sim-15-1-0.01-0.5-4-1.3-0.1-1-20.rsml,1288.658,11,474,43.664,1.107,0.346,52,786,15.545,0.738,63.363
sim-15-1.3-0.01-0.6-4-1.3-0.4-4-5.rsml,24.962,2,23,12.481,0.706,0,0,0,0,0,0
sim-15-0.5-0.01-0.2-4-1.3-0.9-5-10.rsml,623.746,4,341,85.839,2.566,0.249,24,266,11.683,0.707,60.266
sim-15-1-0.01-0.7-4-1.3-0.45-5-20.rsml,18368.896,16,1694,106.328,0.896,0.327,358,16473,46.558,0.664,60.327
sim-15-0.5-0.01-0.2-4-1.3-0.65-4-10.rsml,359.136,4,228,57.573,1.844,0.407,12,123,10.737,0.583,69.837
sim-15-1.5-0.01-0.5-4-1.3-0.35-3-10.rsml,552.694,10,334,33.947,1.046,0.418,23,202,9.27,0.622,59.664
sim-15-0.6-0.01-0.2-4-1.3-0.15-2-10.rsml,23.704,2,23,11.852,0.475,0,0,0,0,0,0
sim-15-1.2-0.01-0.1-4-1.3-0.4-1-10.rsml,318.078,8,295,37.437,1.179,0.273,3,17,6.195,0.424,68.129
sim-15-1.5-0.01-0.6-4-1.3-0.3-3-15.rsml,4669.195,16,1090,68.698,1.645,0.341,160,3488,22.313,1.087,58.007
sim-15-0.5-0.01-0.5-4-1.3-0.45-4-10.rsml,218.478,3,126,42.534,1.241,0.3,8,86,11.359,0.712,56.663
sim-15-0.5-0.01-0.5-4-1.3-0.15-4-10.rsml,13.157,1,13,13.157,0.483,0,0,0,0,0,0
sim-15-0.5-0.01-0.7-4-1.3-0.9-5-5.rsml,29.937,1,29,29.937,1.551,0,0,0,0,0,0
sim-15-1.5-0.01-0.6-4-1.3-0.8-1-10.rsml,3660.172,12,951,79.818,2.006,0.306,119,2637,22.709,1.234,54.105
sim-15-1-0.01-0.5-4-1.3-0.6-3-10.rsml,1140.459,7,445,64.029,1.752,0.303,46,664,15.049,0.955,61.758
sim-15-0.8-0.01-0.7-4-1.3-0.95-4-5.rsml,46.823,2,45,23.412,1.579,0,0,0,0,0,0
sim-15-1.4-0.01-0.7-4-1.3-1-3-20.rsml,31015.516,25,2903,116.601,0.771,0.325,570,27806,49.299,0.539,58.474
sim-15-1.2-0.01-0.3-4-1.3-0.8-2-5.rsml,76.702,3,74,25.567,1.465,0,0,0,0,0,0
sim-15-0.8-0.01-0.1-4-1.3-0.4-4-15.rsml,1254.454,9,785,87.877,2.064,0.276,49,440,9.46,0.532,65.373
sim-15-1.1-0.01-0.8-4-1.3-0.95-2-5.rsml,136.692,3,100,33.873,1.718,0.361,4,32,8.768,1.317,68.495
