 ,image,tot_root_length,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals,tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle
165,sim-16-1-0.025-0.4-4-0.8-0.3-3-20.rsml,22936.391,16,2398,150.44,1.873,0.331,429,20299,47.854,0.893,27.501
166,sim-16-4-0.01-0.4-6-0.8-0.2-2-20.rsml,29178.992,40,6012,150.733,1.678,0.209,698,22786,33.166,0.763,31.038
167,sim-10-4-0.01-0.3-4-1-0.4-3-20.rsml,35540.672,40,6619,166.018,2.336,0.293,1102,28323,26.225,0.789,43.442
168,sim-16-2.5-0.01-0.3-4-0.8-0.2-4-20.rsml,19331.711,40,3907,98.202,1.915,0.334,614,15095,25.087,0.747,33.218
169,sim-10-2.5-0.04-0.2-4-1-0.2-4-20.rsml,5509.17,40,2441,61.58,1.896,0.334,249,2914,12.233,0.562,40.346
170,sim-16-2.5-0.01-0.3-4-0.8-0.3-5-20.rsml,40761.145,40,5913,148.325,1.946,0.307,972,34306,35.831,0.718,31.838
171,sim-16-4-0.01-0.2-6-0.8-0.2-4-20.rsml,16884.998,40,5918,148.466,2.161,0.215,565,10657,19.374,0.564,34.801
172,sim-16-2.5-0.025-0.2-6-1-0.3-5-20.rsml,22719.922,40,6281,157.479,2.151,0.207,641,16100,25.617,0.564,38.678
173,sim-10-2.5-0.025-0.3-4-1-0.2-4-20.rsml,7098.982,40,2382,60.06,1.849,0.309,291,4551,16.139,0.74,42.764
174,sim-10-1-0.01-0.2-4-1.2-0.2-2-10.rsml,84.86,6,82,14.143,0.575,0,0,0,0,0,0
175,sim-16-1-0.04-0.4-4-1-0.4-1-20.rsml,33266.793,17,2913,171.896,1.67,0.287,556,30050,54.577,0.781,33.349
176,sim-16-2.5-0.04-0.2-4-1.2-0.2-1-20.rsml,14226.73,40,4217,105.883,2.007,0.327,547,9700,18.266,0.569,50.945
